Question_ID,Type_ID,Topic_ID,Text
1.0,1.0,1.0,George Washington was the first President of The United States.
2.0,1.0,1.0,Abraham Lincoln was the 32nd President of The United States.
3.0,1.0,2.0,You feel its worse to be…
4.0,1.0,2.0,In friendships you’d rather have…
5.0,1.0,2.0,For everyday work you’d rather…
6.0,1.0,2.0,When talking to strangers you speak…
7.0,1.0,2.0,When with other people, you…
8.0,1.0,2.0,The later it gets at a parties, the more you…
9.0,1.0,2.0,With friends and coworkers, you’re…
10.0,1.0,2.0,When at a social event, you interact with…
11.0,1.0,2.0,New and varied experiences with others…
12.0,1.0,2.0,Before a phone call you…
13.0,1.0,2.0,When the doorbell rings you…
14.0,1.0,3.0,Which operator will be evaluated first in the following SELECT statement?
15.0,1.0,3.0,A user wants to remove the values present in column SALARY in the EMPLOYEES table for all employees who belong to DEPARTMENT_ID 90.  Which SQL would accomplish the task?
16.0,1.0,3.0,Which function can possibly return a non-NULL value when one of the arguments is NULL?
17.0,1.0,3.0,Which datatype stores data outside the Oracle database?
20.0,1.0,3.0,At  a minimum, how many join conditions should there be to avoid a Cartesian join if there are three tables in the FROM clause?
21.0,1.0,3.0,Why does the following statement fail?  ‘CREATE TABLE FRUITS-N-VEGETABLES (NAME VARCHAR2 (40));’
22.0,1.0,3.0,Table CUSTOMERS has a column named CUST_ZIP which could be NULL. Which of the following functions include the NULL rows in its result?
23.0,1.0,3.0,Which option is not available in Oracle when modifying tables?
24.0,1.0,3.0,In ANSI SQL, a self-join can be represented by using which of the following? (Choose the best answer.)
25.0,1.0,3.0,What will be result of trunc(2916.16, -1)?
26.0,1.0,3.0,How do you represent the following business rule in an ER diagram? ‘A customer may have one or more orders; an order must belong to one and only one customer.’
27.0,1.0,3.0,What order does Oracle use in resolving a table or view referenced in a SQL statement?
28.0,1.0,3.0,Which types of constraints can be created on a view?
29.0,1.0,4.0,What letter is this?
